"area_code","area_name","date","new_cases","total_cases"
"E09000032","Wandsworth",2020-03-12,12,38
"E09000033","Westminster",2020-03-12,14,52
"E09000001","City of London",2020-03-13,0,0
"E09000002","Barking and Dagenham",2020-03-13,1,9
"E09000003","Barnet",2020-03-13,6,37
"E09000004","Bexley",2020-03-13,4,17
"E09000005","Brent",2020-03-13,3,32
"E09000006","Bromley",2020-03-13,4,20
"E09000007","Camden",2020-03-13,5,29
"E09000008","Croydon",2020-03-13,4,19
"E09000009","Ealing",2020-03-13,3,29
"E09000010","Enfield",2020-03-13,4,21
"E09000011","Greenwich",2020-03-13,5,19
"E09000012","Hackney",2020-03-13,4,24
"E09000013","Hammersmith and Fulham",2020-03-13,3,24
"E09000014","Haringey",2020-03-13,8,27
"E09000015","Harrow",2020-03-13,4,24
"E09000016","Havering",2020-03-13,1,7
"E09000017","Hillingdon",2020-03-13,3,17
"E09000018","Hounslow",2020-03-13,5,18
"E09000019","Islington",2020-03-13,6,22
"E09000020","Kensington and Chelsea",2020-03-13,3,52
"E09000021","Kingston upon Thames",2020-03-13,1,5
"E09000022","Lambeth",2020-03-13,11,44
"E09000023","Lewisham",2020-03-13,3,21
"E09000024","Merton",2020-03-13,7,27
"E09000025","Newham",2020-03-13,3,10
"E09000026","Redbridge",2020-03-13,3,5
"E09000027","Richmond upon Thames",2020-03-13,3,7
"E09000028","Southwark",2020-03-13,8,53
"E09000029","Sutton",2020-03-13,4,12
"E09000030","Tower Hamlets",2020-03-13,3,19
"E09000031","Waltham Forest",2020-03-13,2,8
"E09000032","Wandsworth",2020-03-13,4,42
"E09000033","Westminster",2020-03-13,8,60
"E09000001","City of London",2020-03-14,0,0
"E09000002","Barking and Dagenham",2020-03-14,2,11
"E09000003","Barnet",2020-03-14,6,43
"E09000004","Bexley",2020-03-14,3,20
"E09000005","Brent",2020-03-14,7,39
"E09000006","Bromley",2020-03-14,6,26
"E09000007","Camden",2020-03-14,1,30
"E09000008","Croydon",2020-03-14,14,33
"E09000009","Ealing",2020-03-14,2,31
"E09000010","Enfield",2020-03-14,7,28
"E09000011","Greenwich",2020-03-14,2,21
"E09000012","Hackney",2020-03-14,5,29
"E09000013","Hammersmith and Fulham",2020-03-14,2,26
"E09000014","Haringey",2020-03-14,1,28
"E09000015","Harrow",2020-03-14,9,33
"E09000016","Havering",2020-03-14,2,9
"E09000017","Hillingdon",2020-03-14,1,18
"E09000018","Hounslow",2020-03-14,4,22
"E09000019","Islington",2020-03-14,5,27
"E09000020","Kensington and Chelsea",2020-03-14,3,55
"E09000021","Kingston upon Thames",2020-03-14,3,8
"E09000022","Lambeth",2020-03-14,10,54
"E09000023","Lewisham",2020-03-14,2,23
